date,return
2022-01-04,0.0
2022-01-05,0.0025087552110096834
2022-01-06,0.0006041262838263339
2022-01-07,0.0014194049097484562
2022-01-10,3.316263564956401e-05
2022-01-11,-7.555828850835944e-05
2022-01-12,0.0005913875337686392
2022-01-13,0.0003224156092154207
2022-01-14,0.0004919790368644872
2022-01-18,-0.0031914852983404574
2022-01-19,-0.004546531014593347
2022-01-20,-0.0030491715338900605
2022-01-21,-0.002559774083465971
2022-01-24,-0.003059590140354951
2022-01-25,-0.0008688067896650553
2022-01-26,-0.0014957152196161116
2022-01-27,-0.0010304021547131725
2022-01-28,-0.00058057792606514
2022-01-31,-0.0002720199305646931
2022-02-01,-0.0007251539460310097
2022-02-02,-0.001018904977178492
2022-02-03,-0.001175713931124589
2022-02-04,-0.0032909565087673176
2022-02-07,-0.001066685444039317
2022-02-08,-0.0008266062469005631
2022-02-09,-0.0009307834780538649
2022-02-10,-0.0009356640127670124
2022-02-11,-0.0003121109996138127
2022-02-14,-0.00021953574934541198
2022-02-15,-0.001195679236493885
2022-02-16,-0.0012305004372688
2022-02-17,-0.0007375207461448596
2022-02-18,-0.001121530916080693
2022-02-22,-0.002277735769805278
2022-02-23,-0.0008321931393373561
2022-02-24,-0.0019237223052531727
2022-02-25,-0.00020087124716505755
2022-02-28,-0.0006507869996272841
2022-03-01,-9.180489520577151e-05
2022-03-02,-0.00014891488033375033
2022-03-03,-0.00039169427654217603
2022-03-04,-0.000747709754040371
2022-03-07,-0.0005766614289093308
2022-03-08,-0.00034710140577376425
2022-03-09,-0.001237096690263284
2022-03-10,0.0001265380926835924
2022-03-11,0.000972021539607848
2022-03-14,0.0004751294776410564
2022-03-15,-0.0003667376841471892
2022-03-16,-0.00023924538829933617
2022-03-17,-1.7640473158109238e-05
2022-03-18,-0.0004109628468762505
2022-03-21,5.3348740702396924e-05
2022-03-22,-0.0006220145366514496
2022-03-23,-0.0013143678907020506
2022-03-24,-0.0011605393579745549
2022-03-25,-0.0011362320655944336
2022-03-28,-0.0013747429354653562
2022-03-29,-0.0014598737320151711
2022-03-30,-0.0012847506375682771
2022-03-31,-0.0014342630621535513
2022-04-04,0.001299583056634912
2022-04-05,0.0006918747643662737
2022-04-06,0.0010975698894961639
2022-04-07,0.000750406854342911
2022-04-08,0.0006496205930131005
2022-04-11,0.0007218133040565178
2022-04-12,0.00020735492404022615
2022-04-13,0.0005097625116878834
2022-04-14,8.605429869734671e-05
2022-04-18,-0.006949038416435238
2022-04-19,-0.004019660983231921
2022-04-20,-0.0018447356623593203
2022-04-21,-0.0038435234953995145
2022-04-22,-0.00297341774702653
2022-04-25,-0.0014795757992056568
2022-04-26,-0.000881546483377349
2022-04-27,-0.0022751509662454206
2022-04-28,-0.0005776644483022064
2022-04-29,-0.0002832231837250898
2022-05-02,-8.018639734752586e-05
2022-05-03,5.6881112409756796e-05
2022-05-04,-9.923720506566092e-06
2022-05-05,0.00025273729203600936
2022-05-06,-7.875194970141663e-05
2022-05-09,-0.00013407526325071029
2022-05-10,-0.00017452766759118443
2022-05-11,-0.000419322467251515
2022-05-12,-0.00035917982255606606
2022-05-13,-0.00015457249179873234
2022-05-16,-0.0006146953873858996
2022-05-17,5.743335590913112e-05
2022-05-18,4.3517023025074764e-05
2022-05-19,-8.503229288903125e-05
2022-05-20,-2.0559321414093112e-05
2022-05-23,-5.876844347230126e-05
2022-05-24,-1.4654569816530127e-05
2022-05-25,-8.77225386033409e-05
2022-05-26,-1.8115650298300423e-05
2022-05-27,-8.610870516978508e-05
2022-05-31,-0.00020686975877759473
2022-06-01,-5.301458179918228e-05
2022-06-02,-0.00017786052244705974
2022-06-03,-1.2797619612037181e-05
2022-06-06,-2.0725989832048874e-05
2022-06-07,-3.646531421486188e-05
2022-06-08,8.290122869958338e-05
2022-06-09,2.6202208998071796e-06
2022-06-10,-3.263099328432162e-05
2022-06-13,-1.6182093234062833e-05
2022-06-14,-0.0014358840431009101
2022-06-15,-0.0005338768397632476
2022-06-16,-0.0006004381593165409
2022-06-17,-0.0008413269651886823
2022-06-21,2.000130377743936e-05
2022-06-22,-0.00013981213423619465
2022-06-23,-0.00017533227693988795
2022-06-24,-0.0006252220410600806
2022-06-27,-0.0017449052049159919
2022-06-28,-0.00020710287242309278
2022-06-29,-0.001306228549233901
2022-06-30,-0.0013370616285389714
2022-07-05,-0.001284665955272546
2022-07-06,0.0001335515346336802
2022-07-07,-0.0011801116482254015
2022-07-08,0.00044271436231468897
2022-07-11,-0.00015802125791020138
2022-07-12,0.0005794486287513667
2022-07-13,0.0006055299251457313
2022-07-14,0.00031220064154613425
2022-07-15,2.5027219704432113e-05
2022-07-18,-4.541463290907988e-05
2022-07-19,-0.0025297044012461134
2022-07-20,-0.0036895737294679876
2022-07-21,-0.003747952496340301
2022-07-22,-0.0014138026608144783
2022-07-25,-0.0012039042885887419
2022-07-26,0.00014486264803026394
2022-07-27,-0.0010350308823400267
2022-07-28,-9.605879205032419e-05
2022-07-29,-0.0008799287306643366
2022-08-01,-0.0008633609414731014
2022-08-02,-0.0005720909620777759
2022-08-03,-0.0009679781243830954
2022-08-04,2.3946217254655622e-05
2022-08-05,0.000574358379412887
2022-08-08,0.0003757614635353512
2022-08-09,0.0002835641442084924
2022-08-10,0.0005085807091023131
2022-08-11,-0.0003201259882446017
2022-08-12,-2.7004500333882575e-05
2022-08-15,-0.00012605320907288498
2022-08-16,-0.0003326411480883973
2022-08-17,0.00014256998478967553
2022-08-18,0.00039460912040079066
2022-08-19,-4.8133772739933356e-05
